company,h-index,repo count,contributor count,location,country,employee,top_language
coupang,2,18,1264,seoul,,,Java
30-seconds,16,18,448,Greece,,,JavaScript
yarnpkg,10,18,1000,,,,JavaScript
guzzle,15,18,499,,,,PHP
vuzix,1,17,7,,,,C++
cyberagent,8,17,27,"Tokyo, Japan",,,JavaScript
aol,7,17,396,We're working from home these days. Stay safe.,USA,10350,Java
billtrust,5,17,33,,,,Python
harmonic,5,17,515,"Perth, Western Australia",,,PHP
playstudios,1,17,884,,,,C#
keras-team,14,17,980,Worldwide,,,Python
iview,11,17,191,BeiJing,,,JavaScript
vipshop,14,16,69,Guangzhou China,China,8013,C
certara,4,16,23,,,,R
leaflet,15,16,648,,,,JavaScript
gogs,10,16,587,Wildest Dream,,,Go
carsales,3,15,30,"Melbourne, Australia",,,C#
zscaler,4,15,8,"San Jose, CA",,,HCL
teamviewer,4,14,123,G?ppingen,,,PowerShell
techtarget,1,14,2,"Newton, MA",,,JavaScript
doocs,12,14,187,China,,,Java
pallets,13,14,1317,,,,Python
opencv,12,14,849,,,,C++
tesseract-ocr,12,14,396,,,,HTML
rackspace,8,13,707,"San Antonio, TX",,,Ruby
lumen,4,13,41,,,,Elixir
unisys,1,13,133,Global,,,Python
gin-gonic,9,13,748,$GOPATH,,,Go
scikit-learn,9,13,426,,,,Python
tldr-pages,8,13,502,,,,JavaScript
baixing,7,12,44,"Shanghai, China",China,50,JavaScript
colopl,3,12,364,"Tokyo, Japan",,,PHP
appen,1,12,128,,,,Ruby
meitu,7,11,210,"Xiamen, China",China,2090,Go
marqeta,5,11,423,"Oakland, CA",,,Go
lattice,2,11,94,,,,C++
exscientia,1,11,63,"Oxford UK, Dundee UK",,,Python
mui,9,11,656,Global,,,TypeScript
zsh-users,10,11,594,,,,Shell
nwjs,10,11,830,,,,JavaScript
robinhood,9,10,253,"Palo Alto, CA",,,Python
renren,3,10,6,"Beijing, P.R.China",China,409,JavaScript
ionq,3,10,268,,,,Python
qualtrics,2,10,205,,,,TypeScript
