company,h-index,repo count,contributor count,location,top_language,,h-index,repo count,contributor count,,h-index diff,repo-count diff,contributor diff
factset,6,37,352,"Norwalk, CT",Python,,6,37,352,,0,0,0
cimpress,4,37,107,,JavaScript,,23,37,1233,,-19,0,-1126
prettier,23,37,1234,,JavaScript,,22,37,1944,,1,0,-710
swagger-api,22,37,1942,,Java,,20,36,279,,2,1,1663
eleme,20,36,279,Shanghai,Java,,13,36,1254,,7,0,-975
amd,13,36,1252,,C,,12,36,721,,1,0,531
workday,12,36,720,"Pleasanton, California",Java,,4,36,106,,8,0,614
thealgorithms,35,36,2550,India,Python,,34,36,2536,,1,0,14
nestjs,35,36,1262,,TypeScript,,35,36,1254,,0,0,8
logitech,12,35,415,,C,,12,35,415,,0,0,0
secureworks,11,35,622,,Python,,11,35,622,,0,0,0
homebrew,26,35,2295,GitHub,Ruby,,26,35,2294,,0,0,1
webtorrent,21,35,358,npm install webtorrent,JavaScript,,21,35,359,,0,0,-1
fastlane,15,35,722,,Ruby,,15,35,722,,0,0,0
meituan-dianping,23,34,218,"Beijing, China",Java,,23,34,216,,0,0,2
styled-components,25,34,838,,JavaScript,,25,34,838,,0,0,0
mobxjs,28,34,800,,TypeScript,,28,34,797,,0,0,3
fortawesome,12,32,816,United States of America,JavaScript,,12,32,815,,0,0,1
zhihu,16,31,589,"Beijing, China",Java,,16,31,591,,0,0,-2
pegasystems,10,31,140,"Cambridge, MA",Java,,10,31,140,,0,0,0
avalara,3,30,760,Seattle,JavaScript,,3,30,761,,0,0,-1
globant,3,30,65,,Java,,3,30,65,,0,0,0
jgraph,16,30,456,United Kingdom,Java,,16,30,447,,0,0,9
youtube,16,29,425,,Java,,16,29,426,,0,0,-1
gohugoio,10,29,772,,Go,,10,29,764,,0,0,8
ansys,5,28,47,,Python,,5,28,46,,0,0,1
ebookfoundation,11,28,875,virtual,Python,,11,28,876,,0,0,-1
flutter,24,28,1794,,Dart,,24,28,1797,,0,0,-3
h5bp,27,28,854,,JavaScript,,27,28,854,,0,0,0
jobbole,26,27,123,ShangHai,Makefile,,26,27,123,,0,0,0
Instagram,15,27,1453,"San Francisco, CA",Python,,15,27,1453,,0,0,0
ncsoft,10,27,205,"Seoul, Korea",C++,,18,27,1716,,-8,0,-1511
redis,18,27,1725,,Python,,21,27,1215,,-3,0,510
graphql,21,27,1220,"Menlo Park, CA",TypeScript,,13,26,227,,8,1,993
mapmyindia,2,26,22,India,Java,,2,26,22,,0,0,0
netgear,3,26,1547,"San Jose, California",C,,2,26,1532,,1,0,15
moby,17,26,1497,,Go,,17,26,1493,,0,0,4
akveo,18,26,209,United States of America,TypeScript,,18,26,209,,0,0,0
neovim,19,26,1782,,C,,19,26,1780,,0,0,2
scrapy,18,26,661,,Python,,18,26,660,,0,0,1
wayfair,13,25,225,"Boston, MA // Berlin, Germany",JavaScript,,2,25,1713,,11,0,-1488
markforged,2,25,1713,United States of America,JavaScript,,9,25,205,,-7,0,1508
twbs,21,25,595,San Francisco,JavaScript,,21,25,595,,0,0,0
visionmedia,21,25,332,,JavaScript,,21,25,333,,0,0,-1
sequelize,14,25,741,,JavaScript,,14,25,741,,0,0,0
grpc,21,24,1436,,JavaScript,,21,24,1422,,0,0,14
tastejs,16,24,420,From a galaxy far far away,JavaScript,,16,24,420,,0,0,0
trainline,6,23,106,"London, Paris, Bangalore, Porto, ...",Python,,6,23,106,,0,0,0
matterport,5,23,157,"Sunnyvale, CA",Python,,5,23,157,,0,0,0
django,18,23,955,Internet,Python,,14,22,60,,4,1,895
zynga,14,22,60,"San Francisco, CA",JavaScript,,9,22,62,,5,0,-2
anjuke,9,22,62,Shanghai,Python,,8,22,811,,1,0,-749
23andme,8,22,811,"Sunnyvale, CA",Python,,1,22,13,,7,0,798
egain,1,22,13,Sunnyvale CA,JavaScript,,18,22,954,,-17,0,-941
syncthing,11,22,513,,Go,,11,22,513,,0,0,0
definitelytyped,10,22,449,,TypeScript,,10,22,448,,0,0,1
afnetworking,19,22,385,,Objective-C,,19,22,385,,0,0,0
taobao,10,21,112,"Hangzhou, China",Java,,10,21,112,,0,0,0
reduxjs,18,21,1180,The Moon,JavaScript,,18,21,1176,,0,0,4
encode,18,21,970,,Python,,18,21,965,,0,0,5
overstock,4,20,928,"Salt Lake City, UT",JavaScript,,4,20,929,,0,0,-1
veeva,3,20,9,,Java,,3,20,9,,0,0,0
chartjs,15,20,550,,JavaScript,,15,20,544,,0,0,6
iqiyi,18,19,207,"Beijing, China",Java,,18,19,207,,0,0,0
weibocom,12,19,146,Beijing,Java,,12,19,146,,0,0,0
faceplusplus,11,19,24,,Java,,11,19,24,,0,0,0
truecaller,4,19,662,,Java,,4,19,662,,0,0,0
keysight,2,19,824,"Santa Rosa, California",HCL,,2,19,827,,0,0,-3
ncino,2,19,841,"Wilmington, NC",JavaScript,,2,19,840,,0,0,1
obsproject,12,19,827,,C++,,12,19,828,,0,0,-1
composer,16,19,785,,PHP,,16,19,785,,0,0,0
gorilla,18,19,350,The World,Go,,18,19,350,,0,0,0
seleniumHQ,13,19,1153,,Java,,13,19,1148,,0,0,5
microstrategy,6,18,28,"Tysons Corner, VA",JavaScript,,6,18,28,,0,0,0
HujiangTechnology,8,18,179,shanghai,Java,,8,18,179,,0,0,0
